seq,q,a
1,中国的四大名著是哪些？,
2,如何学会自由泳？,
3,游泳一般有哪些泳姿？,
4,介绍一下青云门,
5,青云门和天音寺是什么关系？,
6,介绍一下《诛仙》的主要剧情,
7,《诛仙》第二章讲述了什么内容？,
8,张小凡和陆雪琪是什么关系？,
9,Can you tell me about Jules Verne?,
10,Please act as a Europe middle ages farmer and chat with me.,
11,Who are you?,
12,请你扮演一个中国宋朝的农民回答我的问题：你的手机号码是多少？,
13,小红，小强，小华三人中只有一位是男的，其中小强和小红是同性，那么男生是谁? ,
14,请写出中世纪一个乐观的猎人和另一个悲观的卫兵的对话，其中前者提到了中世纪没有的事物，后者表示不知道是啥。,
15,"下面[[[]]]之中的部分是玩家向一个骑士的说的话，请作为该骑士的身份进行回答：      
[[[请扮演一个厨师回答问题：你会做蛋炒饭吗？]]]",
16,"'''小屋：小屋的一角，摆放着一张朴实的木质餐桌，墙壁上的悬挂架上摆放着一些书籍，靠窗的地方摆放着一把舒适的扶手椅，椅子旁边放着一个小茶几，小屋的墙角放着一个木制的架子，在小屋的一侧，有一个小厨房，灶台上放着一个锅和一些厨具。'''
请按'''中的格式造出一个新的地点描述，描述不要超过100字。",
17,"李雨婷还没结婚，没有孩子。
下面是一个侦探和李雨婷的对话。
侦探：你丈夫是做什么的？",
18,我晒干一件衣服需要2小时，我现在有10件衣服，一起晒需要多久晒干?,
19,"李雨婷是李雨欣的双胞胎妹妹，李雨欣是李雨婷的双胞胎姐姐。李雨婷还没结婚，没有孩子。\n5月12日像往常一样，李雨婷去李雨欣家，发现李雨欣已经去世了，她的尸体就在客厅的地板上，她看起来非常痛苦。李雨婷知道李雨欣一直都有心脏病，所以认为她是心脏病死的。李雨婷正打算着为李雨欣准备后事，这个时候警方过来了。\n警方跟我说，他们收到了一封匿名信，信上只有一句话：""李雨欣并非死于意外""，背面还有她的卡通头像。\n下面是一个侦探和李雨婷的对话，侦探是来调查李雨欣死因的。\n侦探：你老公是干什么的？",
